     Unnamed: 0                      name  last_usd  high_usd  low_usd    chg chg_perc      vol        time  Unnamed: 9               created_date
79          NaN                    Incyte     90.95     91.79    88.93  -0.33    -0.36    1.64M  1586980799         NaN 2020-04-16 00:05:54.482374
80          NaN          Liberty Global C     17.10     17.19    16.74  -0.29    -1.67    3.67M  1586980799         NaN 2020-04-16 00:05:54.482374
81          NaN              MercadoLibre    588.64    595.84   540.90  26.62    +4.74  667.03K  1586980799         NaN 2020-04-16 00:05:54.482374
82          NaN               T-Mobile US     88.54     89.39    87.10  -1.08    -1.21    5.80M  1586980799         NaN 2020-04-16 00:05:54.482374
83          NaN                  Facebook    176.97    178.19   172.82  -1.20    -0.67   17.42M  1586980799         NaN 2020-04-16 00:05:54.482374
84          NaN      Willis Towers Watson    185.65    194.23   184.16 -11.35    -5.76    1.08M  1586980799         NaN 2020-04-16 00:05:54.482374
85          NaN                    Splunk    130.54    132.95   129.31  -2.38    -1.79    1.67M  1586980799         NaN 2020-04-16 00:05:54.482374
86          NaN                   Workday    146.07    147.78   144.39  -3.38    -2.26    3.05M  1586980799         NaN 2020-04-16 00:05:54.482374
87          NaN                  Mondelez     53.71     53.97    53.40  -0.80    -1.47    7.34M  1586980799         NaN 2020-04-16 00:05:54.482374
88          NaN                  Skyworks     92.87     93.94    90.11  -2.82    -2.95    2.00M  1586980799         NaN 2020-04-16 00:05:54.482374
89          NaN       Lululemon Athletica    207.95    208.50   199.60   2.77    +1.35    1.89M  1586980799         NaN 2020-04-16 00:05:54.482374
90          NaN          Regeneron Pharma    511.69    527.10   510.50 -13.15    -2.51  837.22K  1586980799         NaN 2020-04-16 00:05:54.482374
91          NaN                  ASML ADR    282.49    284.54   275.05  -6.44    -2.23    1.49M  1586980799         NaN 2020-04-16 00:05:54.482374
92          NaN                    Copart     70.09     71.16    68.43  -1.05    -1.48    1.66M  1586980799         NaN 2020-04-16 00:05:54.482374
93          NaN                  Synopsys    146.17    147.89   144.28  -1.26    -0.85  931.97K  1586980799         NaN 2020-04-16 00:05:54.482374
94          NaN               Ulta Beauty    201.52    202.00   194.33  -3.48    -1.70  972.17K  1586980799         NaN 2020-04-16 00:05:54.482374
95          NaN                    Verisk    147.13    148.63   146.04  -3.17    -2.11  722.31K  1586980799         NaN 2020-04-16 00:05:54.482374
96          NaN                  CDW Corp    103.68    105.35   102.42  -3.07    -2.88  698.04K  1586980799         NaN 2020-04-16 00:05:54.482374
97          NaN         American Airlines     12.29     12.69    11.39   0.34    +2.89  124.72M  1586980799         NaN 2020-04-16 00:05:54.482374
98          NaN                Alphabet C   1262.47   1280.46  1240.40  -6.76    -0.53    1.67M  1586980799         NaN 2020-04-16 00:05:54.482374
99          NaN            JD.com Inc Adr     44.60     46.36    43.47   0.74    +1.69   22.86M  1586980799         NaN 2020-04-16 00:05:54.482374
100         NaN       PayPal Holdings Inc    107.95    109.09   106.42  -1.83    -1.67    7.82M  1586980799         NaN 2020-04-16 00:05:54.482374
101         NaN                Fox Corp A     25.70     25.87    24.96  -0.81    -3.06    2.45M  1586980799         NaN 2020-04-16 00:05:54.482374
102         NaN                Fox Corp B     25.17     25.25    24.55  -0.84    -3.23    1.17M  1586980799         NaN 2020-04-16 00:05:54.482374
